name,rank,sport,gender,country,earnings_USD_2019
Nikola Jokic,10,basketball,men,Denver Nuggets,"27,504,630"
Karl-Anthony Towns,11,basketball,men,Minnesota Timberwolves,"27,285,000"
Draymond Green,12,basketball,men,Golden State Warriors,"18,539,130"
Bradley Beal,13,basketball,men,Washington Wizards,"27,093,019"
Jimmy Butler,14,basketball,men,Miami Heat,"32,742,000"
Kyrie Irving,15,basketball,men,Brooklyn Nets,"1,742,000"
Kemba Walker,16,basketball,men,Boston Celtics,"32,742,000"
Rudy Gobert,17,basketball,men,Utah Jazz,"25,008,427"
Blake Griffin,18,basketball,men,Detroit Pistons,"34,449,964"
Russell Westbrook,19,basketball,men,Houston Rockets,"38,506,482"
Jrue Holiday,20,basketball,men,New Orleans Pelicans,"26,231,111"
Ben Simmons,21,basketball,men,Philadelphia 76ers,"8,113,930"
Luka Doncic,22,basketball,men,Dallas Mavericks,"7,683,360"
CJ McCollum,23,basketball,men,Portland Trail Blazers,"27,556,959"
Mike Conley,24,basketball,men,Utah Jazz,"32,511,623"
Victor Oladipo,25,basketball,men,Indiana Fever,"21,000,000"
Klay Thompson,26,basketball,men,Golden State Warriors,"32,742,000"
Donovan Mitchell,27,basketball,men,Utah Jazz,"3,635,760"
Pascal Siakam,28,basketball,men,Toronto Raptors,"2,351,839"
Al Horford,29,basketball,men,Philadelphia 76ers,"28,000,000"
Khris Middleton,30,basketball,men,Milwaukee Bucks,"30,603,448"
Chris Paul,31,basketball,men,Oklahoma City Thunder,"38,506,482"
Devin Booker,32,basketball,men,Phoenix Suns,"27,285,000"
Kristaps Porzingis,33,basketball,men,Dallas Mavericks,"27,285,000"
Kyle Lowry,34,basketball,men,Toronto Raptors,"34,996,296"
Nikola Vucevic,35,basketball,men,Orlando Magic,"28,000,000"
LaMarcus Aldridge,36,basketball,men,San Antonio Spurs,"26,000,000"
Jayson Tatum,37,basketball,men,Boston Celtics,"7,830,000"
De'Aaron Fox,38,basketball,men,Sacramento Kings,"6,392,760"
Kevin Love,39,basketball,men,Cleveland Cavaliers,"28,942,830"
Jamal Murray,40,basketball,men,Denver Nuggets,"4,444,746"
Tobias Harris,41,basketball,men,Philadelphia 76ers,"32,742,000"
Myles Turner,42,basketball,men,Indiana Pacers,"18,000,000"
DeMar DeRozan,43,basketball,men,San Antonio Spurs,"27,739,975"
D'Angelo Russell,44,basketball,men,Golden State Warriors,"27,285,000"
Trae Young,45,basketball,men,Atlanta Hawks,"6,273,000"
Danilo Gallinari,46,basketball,men,Oklahoma City Thunder,"22,615,559"
Eric Bledsoe,47,basketball,men,Milwaukee Bucks,"15,625,000"
Gordon Hayward,48,basketball,men,Boston Celtics,"32,700,690"
Brook Lopez,49,basketball,men,Milwaukee Bucks,"12,093,024"
Lou Williams,50,basketball,men,Los Angeles Clippers,"8,000,000"
Brittney Griner,1,basketball,women,Phoenix Mercury,"115,000"
Elena Delle Donne,2,basketball,women,Washington Mystics,"117,000"
Arike Ogunbowale,3,basketball,women,Dallas Wings,"49,539"
Natasha Howard,4,basketball,women,Seattle Storm,"115,000"
DeWanna Bonner,5,basketball,women,Phoenix Mercury,"127,500"
Tina Charles,6,basketball,women,New York Liberty,"117,500"
A’ja Wilson,7,basketball,women,Las Vegas Aces,"53,616"
Diamond DeShields,8,basketball,women,Chicago Sky,"53,616"
Nneka Ogwumike,9,basketball,women,Los Angeles Sparks,"115,000"
Liz Cambage,10,basketball,women,Las Vegas Aces,"115,000"
Tiffany Hayes,11,basketball,women,Atlanta Dream,"115,260"
Jonquel Jones,12,basketball,women,Connecticut Sun,"59,718"
Chelsea Gray,13,basketball,women,Los Angeles Sparks,"115,000"
Odyssey Sims,14,basketball,women,Atlanta Dream,"115,000"
Allie Quigley,15,basketball,women,Chicago Sky,"117,500"
Kia Nurse,16,basketball,women,Phoenix Mercury,"44,273"
Kelsey Mitchell,17,basketball,women,Indiana Fever,"53,616"
Sylvia Fowles,18,basketball,women,Minnesota Lynx,"113,360"
Kayla McBride,19,basketball,women,Las Vegas Aces,"115,000"
Courtney Williams,20,basketball,women,Atlanta Dream,"59,718"
Napheesa Collier,21,basketball,women,Minnesota Lynx,"49,539"
Leilani Mitchell,22,basketball,women,Washington Mystics,"96,757"
Jewell Loyd,23,basketball,women,Seattle Storm,"117,500"
Alyssa Thomas,24,basketball,women,Connecticut Sun,"115,000"
Candice Dupree,25,basketball,women,Atlanta Dream,"117,500"
Aerial Powers,26,basketball,women,Minnesota Lynx,"59,718"
Courtney Vandersloot,27,basketball,women,Chicago Sky,"117,500"
Jasmine Thomas,28,basketball,women,Connecticut Sun,"117,500"
Dearica Hamby,29,basketball,women,Las Vegas Aces,"115,000"
Allisha Gray,30,basketball,women,Dallas Wings,"57,886"
Kayla Thornton,31,basketball,women,Dallas Wings,"86,000"
Ariel Atkins,32,basketball,women,Washington Mystics,"49,611"
Brittney Sykes,33,basketball,women,Los Angeles Sparks,"53,563"
Danielle Robinson,34,basketball,women,Indiana Fever,"108,000"
Erica Wheeler,35,basketball,women,Los Angeles Sparks,"80,000"
Teaira McCowan,36,basketball,women,Indiana Fever,"53,537"
Jordin Canada,37,basketball,women,Seattle Storm,"49,611"
Bria Hartley,38,basketball,women,Phoenix Mercury,"102,000"
Tiffany Mitchell,39,basketball,women,Indiana Fever,"53,290"
Alysha Clark,40,basketball,women,Seattle Storm,"84,100"
Chiney Ogwumike,41,basketball,women,Los Angeles Sparks,"117,500"
Tianna Hawkins,42,basketball,women,Atlanta Dream,"70,000"
Renee Montgomery,43,basketball,women,Atlanta Dream,"107,000"
Stefanie Dolson,44,basketball,women,Chicago Sky,"115,000"
Elizabeth Williams,45,basketball,women,Atlanta Dream,"115,000"
Damiris Dantas,46,basketball,women,Minnesota Lynx,"105,000"
Natasha Cloud,47,basketball,women,Washington Mystics,"115,000"
Shekinna Stricklen,48,basketball,women,Atlanta Dream,"106,000"
Alex Bentley,49,basketball,women,Atlanta Dream,"113,000"
Cheyenne Parker,50,basketball,women,Chicago Sky,"110,000"
Brooks Koepka,1,golf,men,United States,"9,684,006"
Rory McIlroy,2,golf,men,Ireland,"7,785,286"
Dustin Johnson,3,golf,men,United States,"5,534,619"
Justin Rose,4,golf,men,South Africa,"4,358,849"
Justin Thomas,5,golf,men,United States,"5,013,084"
Jon Rahm,6,golf,men,Spain,"4,990,110"
Patrick Cantlay,7,golf,men,United States,"6,121,488"
Tiger Woods,8,golf,men,United States,"3,199,615"
Xander Schauffele,9,golf,men,United States,"5,609,456"
Bryson DeChambeau,10,golf,men,United States,"3,186,232"
Francesco Molinari,11,golf,men,Italy,"3,467,143"
Tony Finau,12,golf,men,United States,"4,344,380"
Tommy Fleetwood,13,golf,men,England,"3,853,651"
Webb Simpson,14,golf,men,United States,"4,690,572"
Adam Scott,15,golf,men,Australia,"4,084,541"
Patrick Reed,16,golf,men,United States,"3,593,844"
Gary Woodland,17,golf,men,United States,"5,690,965"
Paul Casey,18,golf,men,England,"4,257,040"
Rickie Fowler,19,golf,men,United States,"3,945,810"
Matt Kuchar,20,golf,men,United States,"6,294,690"
Shane Lowry,21,golf,men,Ireland,"3,490,098"
Louis Oosthuizen,22,golf,men,South Africa,"2,539,183"
Jason Day,23,golf,men,Australia,"2,637,480"
Marc Leishman,24,golf,men,Australia,"3,886,577"
Bubba Watson,25,golf,men,United States,"1,558,014"
Hideki Matsuyama,26,golf,men,Japan,"3,335,137"
Kevin Kisner,27,golf,men,United States,"3,489,144"
Chez Reavie,28,golf,men,United States,"3,660,909"
Matt Fitzpatrick,29,golf,men,England,"1,553,750"
Matt Wallace,30,golf,men,England,"1,267,400"
Henrik Stenson,31,golf,men,Sweden,"1,397,370"
Ian Poulter,32,golf,men,England,"2,162,306"
Jordan Spieth,33,golf,men,United States,"2,124,192"
Billy Horschel,34,golf,men,United States,"2,187,249"
Kevin Na,35,golf,men,United States,"2,257,309"
Keegan Bradley,36,golf,men,United States,"1,902,797"
Abraham Ancer,37,golf,men,Mexico,"2,688,625"
Brandt Snedeker,38,golf,men,United States,"3,122,936"
Phil Mickelson,39,golf,men,United States,"2,440,221"
Rafa Cabrera Bello,40,golf,men,Spain,"1,926,935"
Bernd Wiesberger,41,golf,men,Austria,"78,006"
Eddie Pepperell,42,golf,men,England,"889,686"
Sergio Garcia,43,golf,men,Spain,"1,793,027"
Andrew Putnam,44,golf,men,United States,"2,439,137"
Tyrrell Hatton,45,golf,men,England,"1,517,396"
Cameron Smith,46,golf,men,Australia,"1,504,820"
Alex Noren,47,golf,men,Sweden,"913,446"
Jim Furyk,48,golf,men,United States,"2,669,938"
Byeong Hun An,49,golf,men,South Korea,"1,990,033"
Haotong Li,50,golf,men,China,"179,581"
Jin Young Ko,1,golf,women,South Korea,2773894
Brooke M. Henderson,2,golf,women,Canada,"1,696,017"
Hyo Joo Kim,3,golf,women,South Korea,"1,290,734"
Nelly South Koreada,4,golf,women,United States,"1,665,546"
Jeongeun Lee6,5,golf,women,South Korea,"2,052,103"
Danielle Kang,6,golf,women,United States,1511443
Ariya Jutanugarn,7,golf,women,Thailand,"1,242,838"
Sei Young Kim,8,golf,women,South Korea,"2,753,099"
Minjee Lee,9,golf,women,Australia,"1,522,607"
Carlota Ciganda,10,golf,women,Spain,"998,654"
Sung Hyun Park,11,golf,women,South Korea,1529905
Lexi Thompson,12,golf,women,United States,1537292
Eun-Hee Ji,13,golf,women,South Korea,"789,695"
Azahara Munoz,14,golf,women,Spain,"667,184"
Yu Liu,15,golf,women,China,"880,048"
Moriya Jutanugarn,16,golf,women,Thailand,"785,105"
Megan Khang,17,golf,women,United States,"646,367"
Mi Jung Hur,18,golf,women,South Korea,"1,030,252"
Nasa Hataoka,19,golf,women,Japan,"917,273"
Shanshan Feng,20,golf,women,China,"986,190"
Amy Yang,21,golf,women,South Korea,"941,956"
Inbee Park,22,golf,women,South Korea,781166
Morgan Pressel,23,golf,women,United States,610872
Jessica Korda,24,golf,women,United States,874588
Marina Alex,25,golf,women,United States,230678
Gaby Lopez,26,golf,women,Mexico,507171
Hannah Green,27,golf,women,Australia,1043537
Celine Boutier,28,golf,women,France,760430
Brittany Altomare,29,golf,women,United States,878369
Caroline Masson,30,golf,women,Germany,990691
So Yeon Ryu,31,golf,women,South Korea,815768
Kristen Gillman,32,golf,women,United States,492466
Jodi Ewart Shadoff,33,golf,women,England,329530
Lydia Ko,34,golf,women,Australia,444256
Alena Sharp,35,golf,women,Canada,382396
Bronte Law,36,golf,women,England,666836
Su Oh,37,golf,women,Australia,640703
Cristie Kerr,38,golf,women,United States,181456
Stacy Lewis,39,golf,women,United States,329191
Mi Hyang Lee,40,golf,women,South Korea,627611
Annie Park,41,golf,women,United States,407836
Georgia Hall,42,golf,women,England,403490
Jane Park,43,golf,women,United States,218147
Haru Nomura,44,golf,women,Japan,186559
Ally McDonald,45,golf,women,United States,638014
Lizette Salas,46,golf,women,United States,1038152
Amy Olson,47,golf,women,United States,335819
Angel Yin,48,golf,women,United States,755784
Jenny Shin,49,golf,women,South Korea,464094
Jing Yan,50,golf,women,China,517412
